Attraction Name,Latitude,Longitude,State,Type
Paddle Marco,25.9397412,-81.70753549999999,Florida,political
Saltwater Pony Tours,37.90251540000001,-75.4052658,Virginia,point_of_interest
Secret Food Tours Las Vegas,36.171563,-115.1391009,Nevada,political
Mica Moon Zip Tours,47.6718467,-117.0906474,Washington,point_of_interest
Epic Adventure Rides,36.9016654,-111.4551283,Arizona,point_of_interest
Treasure Seekers Shell Tours,25.9219215,-81.64730349999999,Florida,point_of_interest
A Boat Day,27.9743282,-82.80176569999999,Florida,point_of_interest
Ali'i Air Tours & Charters,21.9819854,-159.3443768,Hawaii,point_of_interest
Satanic Salem Walking Tours,42.52068010000001,-70.8944956,United States,point_of_interest
SURFit USA,27.3090381,-82.56980759999999,Florida,point_of_interest
Na Pali Pirates,21.9594028,-159.6917662,Hawaii,point_of_interest
Sail Door County,45.1910049,-87.11959739999999,Wisconsin,point_of_interest
Gulf Coast Expeditions,28.8951849,-82.587277,Florida,point_of_interest
Four Season Guides,35.1961781,-111.6203784,Arizona,point_of_interest
Black Hills Helicopters,43.9163972,-103.4420887,South Dakota,point_of_interest
Dallas Party Bike,32.787909,-96.7736525,Texas,point_of_interest
Canyon de Chelly Tours,36.1190734,-109.3197052,Arizona,park
IntraCoastal Experience - Destin Fishing Charter,30.3925946,-86.50414479999999,Florida,point_of_interest
Kauai Safaris,21.9707614,-159.391989,Hawaii,point_of_interest
Ocoee Rafting,35.0308556,-84.378267,Tennessee,point_of_interest
The Redneck Comedy Bus Tours - Branson,36.6436731,-93.21851439999999,Missouri,political
Outlaw Adventure Tours,38.575075,-109.5522863,Utah,point_of_interest
Suncoast Tours,27.1800229,-82.4912538,Florida,point_of_interest
Canyon Ministries Grand Canyon Christian Tours,35.1886571,-111.6902579,Arizona,point_of_interest
Brazos Bluffs Ranch,31.6580603,-97.1447285,Texas,point_of_interest
Scenic Flights of Acadia,44.445967,-68.369143,Maine,point_of_interest
West Virginia Adventures,37.9248501,-81.16228869999999,West Virginia,establishment
Babylon Tours New York City,40.7602536,-73.9649024,New York,point_of_interest
Undiscovered Charleston,32.7802349,-79.93468349999999,South Carolina,food
The Haunted Galena Tour Company,42.4142656,-90.429981,Illinois,point_of_interest
Leavenworth ZipLines,47.76771,-120.652965,United States,point_of_interest
Kevo's Beach Bus,21.2874089,-157.8366441,Hawaii,point_of_interest
The Magic Merman Snorkel Charters,20.9211626,-156.6957074,Hawaii,point_of_interest
OBX Airplanes,35.917076,-75.70053089999999,North Carolina,point_of_interest
Empower Adventures Tampa Bay,28.027555,-82.658737,United States,point_of_interest
The Real Portland Tour,43.6567582,-70.2505982,Maine,point_of_interest
Cville Hop on Tours,38.0261248,-78.4822094,Virginia,point_of_interest
Independent Whitewater,38.5765209,-106.081043,United States,point_of_interest
Coral Cliffs Tours of Kanab,37.0425944,-112.526761,Utah,point_of_interest
Skydive New England,43.3717536,-70.9245605,Maine,point_of_interest
New Wave Adventures,63.74857160000001,-148.8994853,Alaska,point_of_interest
Gulf Angler Fishing Charters,30.3930657,-86.50426329999999,United States,point_of_interest
New York en francais,40.7127753,-74.0059728,New York,political
Daleys Adventure Boat Tours,43.4744219,-73.62620199999999,New York,point_of_interest
Mobsters and Lobsters,42.1358375,-71.0003505,Massachusetts,point_of_interest
Bonaventure Don,32.0451691,-81.05069569999999,Georgia,establishment
Sight Sea-R Cruises,26.45746,-81.9430859,Florida,point_of_interest
Charleston Black Cab Company,32.809569,-80.00442799999999,South Carolina,point_of_interest
Gulf Coast Kayak,26.6403671,-82.0558437,Florida,point_of_interest
Indigo Creek Outfitters,42.2735238,-122.8147599,Oregon,point_of_interest
Maui Bombers,20.7035285,-156.4302108,United States,point_of_interest
Seattle's Best Tours,47.6061389,-122.3328481,Washington,political
Amp'd Adventures,38.8782994,-104.8698717,Colorado,establishment
Islander Girl Snorkel &Tours,25.0022747,-80.53140839999999,United States,point_of_interest
Stick'n Rudder Aero Tours,41.68879889999999,-69.9922613,United States,point_of_interest
Cruisin' Tikis Key Largo,25.0942223,-80.4432544,Florida,point_of_interest
Laughlin Tours,35.1677771,-114.5730208,Nevada,political
Gunship Helicopters,36.1390752,-115.168641,United States,point_of_interest
Aloha Brothers Surf Lessons,33.9889995,-118.466247,California,point_of_interest
Charleston Fossil Adventures,32.7764749,-79.93105120000001,South Carolina,political
Nature's Discovery Manatee Tours,28.8951985,-82.5852003,Florida,point_of_interest
Higher Pursuits,35.578871,-86.88132999999999,Tennessee,point_of_interest
SF Excursions,37.78625299999999,-122.460031,California,point_of_interest
Grand Canyon Journeys,34.8242319,-111.8176618,Arizona,point_of_interest
